	Ward	Area_SqKm	Population	Major_District	Dist_Latitude	Dist_Longitude
1	Chiyoda	5100	59441	Nagatacho	35.675618	139.7434685
2	Chuo	14460	147620	Nihonbashi	35.684058	139.774501377979
3	Minato	12180	248071	Odaiba	35.61912805	139.779403349221
4	Shinjuku	18620	339211	Shinjuku	35.6937632	139.7036319
5	Bunkyō	19790	223389	Hongo	35.7088	139.7601
6	Taitō	19830	200486	Ueno	35.7117877	139.7760958
7	Sumida	18910	260358	Kinshicho	35.6967524	139.8141509
8	Koto	12510	502579	Kiba	35.6722	139.8061
9	Shinagawa	17180	392492	Shinagawa	35.599252	139.73891
10	Meguro	19110	280283	Meguro	35.62125	139.688014
11	Ota	11910	722608	Omori	35.5884	139.7279
12	Setagaya	15690	910868	Setagaya	35.646096	139.65627
13	Shibuya	15080	227850	Shibuya	35.6645956	139.6987107
14	Nakano	21350	332902	Nakano	35.718123	139.664468
15	Suginami	16750	570483	Koenji	35.7049419	139.649909
16	Toshima	22650	294673	Ikebukuro	35.7301027	139.7118843
17	Kita	16740	345063	Akabane	35.7781394	139.7207999
18	Arakawa	21030	213648	Arakawa	35.737529	139.78131
19	Itabashi	17670	569225	Itabashi	35.774143	139.681209
20	Nerima	15120	726748	Nerima	35.74836	139.638735
21	Adachi	12660	674067	Ayase	35.4463689	139.4309254
22	Katsushika	12850	447140	Tateishi	34.1763346	132.2260196
23	Edogawa	13750	685899	Kasai	35.6634	139.8731
